,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
277,sfC4AvnkAIiD-aGWv0q3B2aUkuDOEYs3ct6FU0qwTnMkymPsAbK6Y7pctQ,wx waiwaitou8122,1166,I,269,218,True,False,False
278,7etiK_8u3eotrsiB6qQFrfa_1z7Mfxn2xWUwiohWDAmKHls,Samikin,859,I,251,215,False,False,True
279,fO3rHOz1mjHhWrbZXIepCb1Kgia4yP-juIkzwOQpuk1Gpt8,HyBriDZz,850,I,355,320,False,False,False
280,_sY5QXwVP5tSfOo-FdjOpeaPvtSCu7AqxTLLJHhCy82TFb0,lil opressar,862,I,295,258,False,False,False
281,X-A17BP8Si7mcekJTab8TkZ3yjQUqo4vw9fbt1lxp4X0B_I,duoking1,1050,I,192,146,False,False,False
282,aaf4w6hsKRM0T2t8EGK5qTHLuUqdjHuZXkwVgVXQqs3eZEs,young7,1001,I,234,191,False,False,False
283,qvKavlDThF_B06oAvn0hNJxHSFwBtm6jvEploC6PtYumipM,RobbyBob,999,I,183,141,True,False,False
284,b9zRUH1sljNmOb-jatVkFFHisFQJfP_X9BC1OEzSxwlJpAg,MU Azog,1009,I,356,275,False,False,True
285,KR8sl4KyAs-zZS40_j2IvOkx6AfDkqyXwJOn-q0wFzzo1KA,Keel7,888,I,544,510,True,False,False
286,ut2N1g2a2usyXZpHE29g0TrsyTnaiF91KievStpp46Xn31aaFmm8Sd0Onw,Mr CapAŁot,873,I,187,176,False,False,True
287,zajLG6S31jC6g44S6gwiiylylIZ9c4nspx9bmH4mF_8hyqY,iNaofu,1107,I,117,90,False,False,False
288,IwJFsVRCH7EksiaELB12SMQlgVclFHih_L3FusVFPun0JPRm,Path To LCS,887,I,375,337,False,False,False
289,TMTUBpaMuFVFlStC3hSjQpNrTsEAKtZbzycv6aX0tXpUdBs,Shiba lnu,897,I,428,396,False,False,False
290,CUuxmcGdYg3GYzQpZ331-lPq_j-cyAMUn-Wqi_ymgZaauZE,Sushee,928,I,259,214,False,False,False
291,pKAidbpV9VxjiC5dO1AdR7ThWwDInNeK-Pg6saNV9SD92xc,MySwordCrimson,970,I,329,289,False,False,False
292,r5EEbkEPToZwDv9xiTWz7-P2tp0Rbl4wWDxXkncP6IYfxrI,IkurayasobI,930,I,109,65,False,False,False
293,s9iwmLUIGXNWXLfGCMLMQSg0MMvHzBYqXo1kFWgPLVyLO_4,Witnesss Me,944,I,264,226,False,False,False
294,uGRyflq085gXC3RgHoJDT6N_-aQwGeCtlhfMF3xo6zQ74p8,Kaizer Morde,1018,I,224,175,False,False,True
295,xwUVGWfKKT-3JBdB_QkuH7r-4j1IKxqzWarU5v9jhY3syx4,Yeetor,853,I,273,237,False,False,False
296,5ZQ4S9aIgpUx7SA9OfSdLksqjmpSe8z8V6_PbHUyW14iZAc,Üç207Pr4f57t9,874,I,277,240,False,False,False
297,KN5QC688rP9QfZi4PcE_7Hxf6Gtmq3-Nk1shJSBH14atLCY,Aiden Yasuo,1008,I,235,194,True,False,False
298,Rc6oDmtcgAhL9QzKbxjTzw4E3SS8CKAKUdG7Zv7Cz-xtdXM,rocks908,1191,I,490,441,True,False,False
299,zYfi7jIcNjvMvTWgF8GLs951w5M6k9zEv1agNSne_OOY-oc,amor,878,I,176,129,False,False,False
